id;source;pmid;pmcid;doi;title;authorString;journalTitle;issue;journalVolume;pubYear;journalIssn;pageInfo;pubType;isOpenAccess;inEPMC;inPMC;hasPDF;hasBook;hasSuppl;citedByCount;hasReferences;hasTextMinedTerms;hasDbCrossReferences;hasLabsLinks;hasTMAccessionNumbers;firstIndexDate;firstPublicationDate;versionNumber
40694117;MED;40694117;PMC12283882;10.1007/s00248-025-02582-5;Host Diet and Species Interact to Shape the Bacterial and Fungal Microbiome in the Regurgitant of Four Spodoptera Species.;Adam MAC, Cailleau G, Junier P, Benrey B.;Microb Ecol;1;88;2025;"0095-3628; 1432-184x; ";78;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-07-24;2025-07-22;NA
PMC12349692;PMC;NA;PMC12349692;NA;The EuropaBON Stakeholder Dashboard: A dynamic web application to map Europe’s biodiversity community;Langer C, Junker J, Giergiczny M, McCallum I, Georgieva I, Pereira H.;PLoS One;8;20;2025;1932-6203;NA;"research-article; journal article";Y;Y;Y;Y;N;Y;0;N;Y;N;N;N;2025-08-15;2025-01-01;NA
40181915;MED;40181915;PMC11967255;10.1002/ece3.70833;"Terrestrial Spatial Distribution and Summer Abundance of Antarctic Fur Seals (&lt;i&gt;Arctocephalus gazella&lt;/i&gt;) Near Palmer Station, Antarctica, From Drone Surveys.";Larsen GD, Cimino MA, Dale J, Friedlaender AS, Goerke MA, Johnston DW.;Ecol Evol;4;15;2025;2045-7758;e70833;"research-article; journal article";Y;Y;Y;Y;N;N;0;Y;Y;N;Y;N;2025-04-07;2025-04-03;NA
40342697;MED;40342697;PMC12061470;10.1002/ece3.71390;"Occurrence Data Sources Matter for Species Distribution Modeling: A Case Study of &lt;i&gt;Quercus variabilis&lt;/i&gt; Based on Biomod2.";Zhao Y, Liu J, Wang Q, Huang R, Nie W, Yang S, Cheng X, Li M.;Ecol Evol;5;15;2025;2045-7758;e71390;"research-article; journal article";Y;Y;Y;Y;N;Y;2;Y;Y;N;Y;N;2025-05-10;2025-05-08;NA
40896100;MED;40896100;PMC12391032;10.1002/ece3.71842;Linking Tree and Shrub Biomass to Plant Diversity During Early-Stage Alpine Afforestation.;Wang CJ, Yan WX, Huang SF, Deng DZ.;Ecol Evol;9;15;2025;2045-7758;e71842;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-09-04;2025-08-27;NA
40092896;MED;40092896;PMC11906369;10.1002/ece3.71078;Stable Isotopes Reveal the Drivers of Post-Wildfire Natural Regeneration of Interior Douglas-Fir Seedlings in British Columbia.;McAulay J, Querejeta JI, Danyagri G, Eskelson BNI, Philpott TJ, Saunders SC, Mompeán E, Barbeito I.;Ecol Evol;3;15;2025;2045-7758;e71078;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-03-17;2025-03-13;NA
39854505;MED;39854505;PMC11760022;10.1371/journal.pone.0311290;Migratory birds benefit from urban environments in a highly anthropized Neotropical region.;Pacheco-Muñoz R, Ceja-Madrigal A, Schondube JE.;PLoS One;1;20;2025;1932-6203;e0311290;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;Y;2025-01-25;2025-01-24;NA
40370341;MED;40370341;PMC12077929;10.1002/ece3.71447;Stunned by a Heatwave: Experimental Heatwaves Alter Juvenile Responsiveness to the Threat of Predation.;Breedveld MC, Borgheresi O, Devigili A, Gasparini C.;Ecol Evol;5;15;2025;2045-7758;e71447;"research-article; journal article";Y;Y;Y;Y;N;Y;2;Y;Y;N;Y;N;2025-05-21;2025-05-14;NA
41148934;MED;41148934;PMC12563318;10.3390/insects16101066;"Diet-Driven Variations in Longevity and Fecundity of the Endangered Tiger Beetle &lt;i&gt;Cicindela anchoralis&lt;/i&gt; (Coleoptera: Carabidae).";Cha D, Lim A, Jung JK.;Insects;10;16;2025;2075-4450;1066;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-10-28;2025-10-18;NA
PMC12391412;PMC;NA;PMC12391412;NA;Temporal response of belowground and aboveground organisms to microclimate changes in irrigated mediterranean vineyards;Melloul E, Nicolas M, Rocher L, Bischoff A, Gros R, Blight O.;Sci Rep;1;15;2025;2045-2322;NA;"research-article; journal article";Y;Y;Y;Y;N;Y;0;N;Y;N;N;N;2025-09-01;2025-01-01;NA
